Job Description,Top Resume,Score
16852973,10554236.pdf,0.0
22323967,10554236.pdf,0.0
33176873,10554236.pdf,0.0
27018550,10554236.pdf,0.0
17812897,10554236.pdf,0.0
11592605,10554236.pdf,0.0
25824789,10554236.pdf,0.0
15375009,10554236.pdf,0.0
11847784,10554236.pdf,0.0
32896934,10554236.pdf,0.0
29149998,10554236.pdf,0.0
11480899,10554236.pdf,0.0
23155093,10554236.pdf,0.0
11763983,10554236.pdf,0.0
27490876,10554236.pdf,0.0
32977530,10554236.pdf,0.0
93002334,10554236.pdf,0.0
24184357,10554236.pdf,0.0
73077810,10554236.pdf,0.0
13879043,10554236.pdf,0.0
30163002,10554236.pdf,0.0
18827609,10554236.pdf,0.0
25676643,10554236.pdf,0.0
12786012,10554236.pdf,0.0
87968870,10554236.pdf,0.0
46258701,10554236.pdf,0.0
14225422,10554236.pdf,0.0
29297973,10554236.pdf,0.0
18334783,10554236.pdf,0.0
19717385,10554236.pdf,0.0
49937469,10554236.pdf,0.0
18316239,10554236.pdf,0.0
17855844,10554236.pdf,0.0
57667857,10554236.pdf,0.0
17422560,10554236.pdf,0.0
32947778,10554236.pdf,0.0
23914451,10554236.pdf,0.0
21265194,10554236.pdf,0.0
51769822,10554236.pdf,0.0
19616406,10554236.pdf,0.0
41523474,10554236.pdf,0.0
59962788,10554236.pdf,0.0
86184722,10554236.pdf,0.0
28419173,10554236.pdf,0.0
18155310,10554236.pdf,0.0
26780935,10554236.pdf,0.0
34554248,10554236.pdf,0.0
26202430,10554236.pdf,0.0
19867922,10554236.pdf,0.0
91930382,10554236.pdf,0.0
30646367,10554236.pdf,0.0
39650734,10554236.pdf,0.0
72231872,10554236.pdf,0.0
13520837,10554236.pdf,0.0
18422164,10554236.pdf,0.0
30862904,10554236.pdf,0.0
52979663,10554236.pdf,0.0
28828844,10554236.pdf,0.0
21830565,10554236.pdf,0.0
27523575,10554236.pdf,0.0
39081840,10554236.pdf,0.0
20925036,10554236.pdf,0.0
15576950,10554236.pdf,0.0
29564653,10554236.pdf,0.0
14886205,10554236.pdf,0.0
17412079,10554236.pdf,0.0
16861758,10554236.pdf,0.0
93112113,10554236.pdf,0.0
15041689,10554236.pdf,0.0
80162314,10554236.pdf,0.0
20993320,10554236.pdf,0.0
14640322,10554236.pdf,0.0
26289308,10554236.pdf,0.0
23408537,10554236.pdf,0.0
28808263,10554236.pdf,0.0
18084150,10554236.pdf,0.0
26671167,10554236.pdf,0.0
44476983,10554236.pdf,0.0
16877897,10554236.pdf,0.0
29091445,10554236.pdf,0.0
25724495,10554236.pdf,0.0
24508725,10554236.pdf,0.0
11698189,10554236.pdf,0.0
27165830,10554236.pdf,0.0
47470864,10554236.pdf,0.0
34740556,10554236.pdf,0.0
18557164,10554236.pdf,0.0
19179079,10554236.pdf,0.0
13376919,10554236.pdf,0.0
26048718,10554236.pdf,0.0
17150707,10554236.pdf,0.0
18297650,10554236.pdf,0.0
23510685,10554236.pdf,0.0
39970711,10554236.pdf,0.0
20806155,10554236.pdf,0.0
28640735,10554236.pdf,0.0
15575117,10554236.pdf,0.0
27496514,10554236.pdf,0.0
14256329,10554236.pdf,0.0
19336728,10554236.pdf,0.0
10694288,10554236.pdf,0.0
28175164,10554236.pdf,0.0
10399912,10554236.pdf,0.0
20417897,10554236.pdf,0.0
18731098,10554236.pdf,0.0
30563572,10554236.pdf,0.0
24402267,10554236.pdf,0.0
32308556,10554236.pdf,0.0
27847081,10554236.pdf,0.0
25150191,10554236.pdf,0.0
37058472,10554236.pdf,0.0
68240723,10554236.pdf,0.0
76010167,10554236.pdf,0.0
19164410,10554236.pdf,0.0
29147100,10554236.pdf,0.0
25061645,10554236.pdf,0.0
11919526,10554236.pdf,0.0
81011612,10554236.pdf,0.0
11722421,10554236.pdf,0.0
13774329,10554236.pdf,0.0
35990852,10554236.pdf,0.0
36269672,10554236.pdf,0.0
90066849,10554236.pdf,0.0
27529455,10554236.pdf,0.0
85101052,10554236.pdf,0.0
22567495,10554236.pdf,0.0
10751444,10554236.pdf,0.0
11807040,10554236.pdf,0.0
12415691,10554236.pdf,0.0
38565119,10554236.pdf,0.0
21705160,10554236.pdf,0.0
26496059,10554236.pdf,0.0
29524570,10554236.pdf,0.0
15936656,10554236.pdf,0.0
13557622,10554236.pdf,0.0
41506705,10554236.pdf,0.0
32954522,10554236.pdf,0.0
44185767,10554236.pdf,0.0
14014749,10554236.pdf,0.0
34349255,10554236.pdf,0.0
16288901,10554236.pdf,0.0
25422388,10554236.pdf,0.0
22496394,10554236.pdf,0.0
38744475,10554236.pdf,0.0
67582956,10554236.pdf,0.0
26676567,10554236.pdf,0.0
14724186,10554236.pdf,0.0
10748989,10554236.pdf,0.0
26924514,10554236.pdf,0.0
12674307,10554236.pdf,0.0
23951429,10554236.pdf,0.0
26046064,10554236.pdf,0.0
28326441,10554236.pdf,0.0
78149576,10554236.pdf,0.0
17555081,10554236.pdf,0.0
39776400,10554236.pdf,0.0
37263609,10554236.pdf,0.0
13518263,10554236.pdf,0.0
11155153,10554236.pdf,0.0
54201930,10554236.pdf,0.0
10466583,10554236.pdf,0.0
26790545,10554236.pdf,0.0
11958994,10554236.pdf,0.0
30968749,10554236.pdf,0.0
20932019,10554236.pdf,0.0
51681660,10554236.pdf,0.0
34657584,10554236.pdf,0.0
15471999,10554236.pdf,0.0
18979238,10554236.pdf,0.0
26622051,10554236.pdf,0.0
22675694,10554236.pdf,0.0
25023614,10554236.pdf,0.0
20390397,10554236.pdf,0.0
17199951,10554236.pdf,0.0
14743911,10554236.pdf,0.0
24455357,10554236.pdf,0.0
91153752,10554236.pdf,0.0
14528265,10554236.pdf,0.0
18460045,10554236.pdf,0.0
20986595,10554236.pdf,0.0
20748926,10554236.pdf,0.0
32532982,10554236.pdf,0.0
34317538,10554236.pdf,0.0
19195747,10554236.pdf,0.0
12547982,10554236.pdf,0.0
94417768,10554236.pdf,0.0
24655918,10554236.pdf,0.0
27497542,10554236.pdf,0.0
62312955,10554236.pdf,0.0
22506245,10554236.pdf,0.0
28663949,10554236.pdf,0.0
39434376,10554236.pdf,0.0
13998435,10554236.pdf,0.0
30965258,10554236.pdf,0.0
18835363,10554236.pdf,0.0
26503829,10554236.pdf,0.0
18198627,10554236.pdf,0.0
39252859,10554236.pdf,0.0
34051710,10554236.pdf,0.0
37664296,10554236.pdf,0.0
21916744,10554236.pdf,0.0
15425154,10554236.pdf,0.0
24285142,10554236.pdf,0.0
24583187,10554236.pdf,0.0
29865476,10554236.pdf,0.0
25949631,10554236.pdf,0.0
21283733,10554236.pdf,0.0
51018476,10554236.pdf,0.0
13014900,10554236.pdf,0.0
44145704,10554236.pdf,0.0
18795567,10554236.pdf,0.0
42384185,10554236.pdf,0.0
26942552,10554236.pdf,0.0
67645662,10554236.pdf,0.0
34511655,10554236.pdf,0.0
37695494,10554236.pdf,0.0
93301686,10554236.pdf,0.0
36856210,10554236.pdf,0.0
21780877,10554236.pdf,0.0
33241454,10554236.pdf,0.0
25990239,10554236.pdf,0.0
16899268,10554236.pdf,0.0
91635250,10554236.pdf,0.0
19796840,10554236.pdf,0.0
15651486,10554236.pdf,0.0
52246737,10554236.pdf,0.0
12045067,10554236.pdf,0.0
13836471,10554236.pdf,0.0
14789139,10554236.pdf,0.0
36434348,10554236.pdf,0.0
27536013,10554236.pdf,0.0
18301617,10554236.pdf,0.0
24913648,10554236.pdf,0.0
26801767,10554236.pdf,0.0
27372171,10554236.pdf,0.0
91697974,10554236.pdf,0.0
28672970,10554236.pdf,0.0
66832845,10554236.pdf,0.0
25207620,10554236.pdf,0.0
41344156,10554236.pdf,0.0
68460556,10554236.pdf,0.0
10247517,10554236.pdf,0.0
25959103,10554236.pdf,0.0
13385306,10554236.pdf,0.0
38753827,10554236.pdf,0.0
17681064,10554236.pdf,0.0
25905275,10554236.pdf,0.0
11580408,10554236.pdf,0.0
19201175,10554236.pdf,0.0
12635195,10554236.pdf,0.0
32959732,10554236.pdf,0.0
17688766,10554236.pdf,0.0
20024870,10554236.pdf,0.0
22450718,10554236.pdf,0.0
46260230,10554236.pdf,0.0
10839851,10554236.pdf,0.0
18752129,10554236.pdf,0.0
37764298,10554236.pdf,0.0
90867631,10554236.pdf,0.0
17641670,10554236.pdf,0.0
24889109,10554236.pdf,0.0
24083609,10554236.pdf,0.0
24038620,10554236.pdf,0.0
29051656,10554236.pdf,0.0
20237244,10554236.pdf,0.0
20001721,10554236.pdf,0.0
92069209,10554236.pdf,0.0
13405733,10554236.pdf,0.0
28697203,10554236.pdf,0.0
28035460,10554236.pdf,0.0
21283365,10554236.pdf,0.0
17987433,10554236.pdf,0.0
10553553,10554236.pdf,0.0
15118506,10554236.pdf,0.0
18176523,10554236.pdf,0.0
24020470,10554236.pdf,0.0
70089206,10554236.pdf,0.0
27770859,10554236.pdf,0.0
57002858,10554236.pdf,0.0
13477922,10554236.pdf,0.0
28126340,10554236.pdf,0.0
37242217,10554236.pdf,0.0
10089434,10554236.pdf,0.0
11957080,10554236.pdf,0.0
35325329,10554236.pdf,0.0
10840430,10554236.pdf,0.0
64017585,10554236.pdf,0.0
19850482,10554236.pdf,0.0
52618188,10554236.pdf,0.0
28897981,10554236.pdf,0.0
51639418,10554236.pdf,0.0
20674668,10554236.pdf,0.0
23527321,10554236.pdf,0.0
18159866,10554236.pdf,0.0
22776912,10554236.pdf,0.0
23864648,10554236.pdf,0.0
18187364,10554236.pdf,0.0
83816738,10554236.pdf,0.0
20824105,10554236.pdf,0.0
33381211,10554236.pdf,0.0
16533554,10554236.pdf,0.0
20879311,10554236.pdf,0.0
31111279,10554236.pdf,0.0
17111768,10554236.pdf,0.0
11584809,10554236.pdf,0.0
20408458,10554236.pdf,0.0
91121135,10554236.pdf,0.0
24230851,10554236.pdf,0.0
40018190,10554236.pdf,0.0
16186411,10554236.pdf,0.0
29975124,10554236.pdf,0.0
26746496,10554236.pdf,0.0
89413122,10554236.pdf,0.0
12334140,10554236.pdf,0.0
10641230,10554236.pdf,0.0
10265057,10554236.pdf,0.0
30223363,10554236.pdf,0.0
15791766,10554236.pdf,0.0
29075857,10554236.pdf,0.0
12763627,10554236.pdf,0.0
39718499,10554236.pdf,0.0
27058381,10554236.pdf,0.0
25857360,10554236.pdf,0.0
26768723,10554236.pdf,0.0
31243710,10554236.pdf,0.0
15297298,10554236.pdf,0.0
27295996,10554236.pdf,0.0
39413067,10554236.pdf,0.0
48037995,10554236.pdf,0.0
15802627,10554236.pdf,0.0
51363762,10554236.pdf,0.0
18067556,10554236.pdf,0.0
27485716,10554236.pdf,0.0
26480367,10554236.pdf,0.0
81761658,10554236.pdf,0.0
79541391,10554236.pdf,0.0
23666211,10554236.pdf,0.0
12467531,10554236.pdf,0.0
19918523,10554236.pdf,0.0
62184086,10554236.pdf,0.0
28063132,10554236.pdf,0.0
29797594,10554236.pdf,0.0
22408666,10554236.pdf,0.0
13087952,10554236.pdf,0.0
15850434,10554236.pdf,0.0
28772892,10554236.pdf,0.0
33704389,10554236.pdf,0.0
16210888,10554236.pdf,0.0
38750659,10554236.pdf,0.0
90363254,10554236.pdf,0.0
66906212,10554236.pdf,0.0
34745915,10554236.pdf,0.0
34689720,10554236.pdf,0.0
48547319,10554236.pdf,0.0
19464810,10554236.pdf,0.0
28086303,10554236.pdf,0.0
13855004,10554236.pdf,0.0
35421497,10554236.pdf,0.0
69005326,10554236.pdf,0.0
18001081,10554236.pdf,0.0
14958913,10554236.pdf,0.0
13296856,10554236.pdf,0.0
63391085,10554236.pdf,0.0
23939133,10554236.pdf,0.0
96547039,10554236.pdf,0.0
22807104,10554236.pdf,0.0
23628651,10554236.pdf,0.0
29486525,10554236.pdf,0.0
22510753,10554236.pdf,0.0
21773106,10554236.pdf,0.0
34465087,10554236.pdf,0.0
24791126,10554236.pdf,0.0
15899269,10554236.pdf,0.0
37402097,10554236.pdf,0.0
36206485,10554236.pdf,0.0
36569713,10554236.pdf,0.0
28013287,10554236.pdf,0.0
29267293,10554236.pdf,0.0
45286020,10554236.pdf,0.0
13330982,10554236.pdf,0.0
22551979,10554236.pdf,0.0
29639533,10554236.pdf,0.0
49285644,10554236.pdf,0.0
16270906,10554236.pdf,0.0
27531694,10554236.pdf,0.0
74816727,10554236.pdf,0.0
23398843,10554236.pdf,0.0
31552617,10554236.pdf,0.0
19556300,10554236.pdf,0.0
66683238,10554236.pdf,0.0
17311685,10554236.pdf,0.0
17481570,10554236.pdf,0.0
22884757,10554236.pdf,0.0
58708773,10554236.pdf,0.0
10527994,10554236.pdf,0.0
69532425,10554236.pdf,0.0
20399718,10554236.pdf,0.0
19302310,10554236.pdf,0.0
51209395,10554236.pdf,0.0
22632070,10554236.pdf,0.0
22056333,10554236.pdf,0.0
11336022,10554236.pdf,0.0
11616482,10554236.pdf,0.0
34033933,10554236.pdf,0.0
21531811,10554236.pdf,0.0
20626794,10554236.pdf,0.0
58665241,10554236.pdf,0.0
37660306,10554236.pdf,0.0
13583538,10554236.pdf,0.0
20230207,10554236.pdf,0.0
28642819,10554236.pdf,0.0
16820422,10554236.pdf,0.0
29930479,10554236.pdf,0.0
25588694,10554236.pdf,0.0
86597425,10554236.pdf,0.0
10909720,10554236.pdf,0.0
28933005,10554236.pdf,0.0
53129155,10554236.pdf,0.0
11943065,10554236.pdf,0.0
45987048,10554236.pdf,0.0
99244405,10554236.pdf,0.0
32067700,10554236.pdf,0.0
27126818,10554236.pdf,0.0
19786924,10554236.pdf,0.0
70892619,10554236.pdf,0.0
25729119,10554236.pdf,0.0
58105060,10554236.pdf,0.0
12587973,10554236.pdf,0.0
21611212,10554236.pdf,0.0
21550454,10554236.pdf,0.0
86322251,10554236.pdf,0.0
22968380,10554236.pdf,0.0
10504237,10554236.pdf,0.0
24240349,10554236.pdf,0.0
20478831,10554236.pdf,0.0
79663360,10554236.pdf,0.0
76196367,10554236.pdf,0.0
27524018,10554236.pdf,0.0
27798860,10554236.pdf,0.0
14445309,10554236.pdf,0.0
35474904,10554236.pdf,0.0
37348041,10554236.pdf,0.0
89508407,10554236.pdf,0.0
25873425,10554236.pdf,0.0
31040875,10554236.pdf,0.0
11188218,10554236.pdf,0.0
73448369,10554236.pdf,0.0
42164460,10554236.pdf,0.0
18725071,10554236.pdf,0.0
28974459,10554236.pdf,0.0
38291889,10554236.pdf,0.0
12171093,10554236.pdf,0.0
13967854,10554236.pdf,0.0
90468982,10554236.pdf,0.0
49475708,10554236.pdf,0.0
54067174,10554236.pdf,0.0
49486820,10554236.pdf,0.0
38860712,10554236.pdf,0.0
16332348,10554236.pdf,0.0
34970271,10554236.pdf,0.0
14064815,10554236.pdf,0.0
12544735,10554236.pdf,0.0
20138606,10554236.pdf,0.0
36694627,10554236.pdf,0.0
29926588,10554236.pdf,0.0
28206098,10554236.pdf,0.0
20765795,10554236.pdf,0.0
20272792,10554236.pdf,0.0
20324037,10554236.pdf,0.0
53169257,10554236.pdf,0.0
24588864,10554236.pdf,0.0
11963737,10554236.pdf,0.0
13593241,10554236.pdf,0.0
22391901,10554236.pdf,0.0
10344379,10554236.pdf,0.0
74126637,10554236.pdf,0.0
26071861,10554236.pdf,0.0
24410405,10554236.pdf,0.0
14146106,10554236.pdf,0.0
74191424,10554236.pdf,0.0
10186968,10554236.pdf,0.0
20400279,10554236.pdf,0.0
23427369,10554236.pdf,0.0
95714702,10554236.pdf,0.0
18997135,10554236.pdf,0.0
11773767,10554236.pdf,0.0
78538268,10554236.pdf,0.0
13909762,10554236.pdf,0.0
20604208,10554236.pdf,0.0
72652441,10554236.pdf,0.0
24754689,10554236.pdf,0.0
75057933,10554236.pdf,0.0
19063156,10554236.pdf,0.0
91051945,10554236.pdf,0.0
14176254,10554236.pdf,0.0
22259475,10554236.pdf,0.0
37560528,10554236.pdf,0.0
23577836,10554236.pdf,0.0
36392131,10554236.pdf,0.0
32965335,10554236.pdf,0.0
21614256,10554236.pdf,0.0
97405769,10554236.pdf,0.0
95970987,10554236.pdf,0.0
17021141,10554236.pdf,0.0
15337481,10554236.pdf,0.0
75950464,10554236.pdf,0.0
19518606,10554236.pdf,0.0
15727656,10554236.pdf,0.0
31242382,10554236.pdf,0.0
29173771,10554236.pdf,0.0
19108760,10554236.pdf,0.0
14708590,10554236.pdf,0.0
77439230,10554236.pdf,0.0
40088790,10554236.pdf,0.0
22042181,10554236.pdf,0.0
29415426,10554236.pdf,0.0
37333719,10554236.pdf,0.0
15313140,10554236.pdf,0.0
13072354,10554236.pdf,0.0
20544228,10554236.pdf,0.0
30741799,10554236.pdf,0.0
17847636,10554236.pdf,0.0
80503242,10554236.pdf,0.0
26456474,10554236.pdf,0.0
10818478,10554236.pdf,0.0
24124250,10554236.pdf,0.0
37640804,10554236.pdf,0.0
27182111,10554236.pdf,0.0
11174187,10554236.pdf,0.0
47133747,10554236.pdf,0.0
10659182,10554236.pdf,0.0
35344611,10554236.pdf,0.0
13342150,10554236.pdf,0.0
28111403,10554236.pdf,0.0
34327438,10554236.pdf,0.0
15958967,10554236.pdf,0.0
13115648,10554236.pdf,0.0
46772262,10554236.pdf,0.0
38059130,10554236.pdf,0.0
24695561,10554236.pdf,0.0
93512385,10554236.pdf,0.0
38698573,10554236.pdf,0.0
18090899,10554236.pdf,0.0
23804341,10554236.pdf,0.0
29177904,10554236.pdf,0.0
17911230,10554236.pdf,0.0
19926135,10554236.pdf,0.0
44115326,10554236.pdf,0.0
75435017,10554236.pdf,0.0
19234823,10554236.pdf,0.0
13809698,10554236.pdf,0.0
17254634,10554236.pdf,0.0
28871170,10554236.pdf,0.0
24946537,10554236.pdf,0.0
28635795,10554236.pdf,0.0
24763208,10554236.pdf,0.0
17165107,10554236.pdf,0.0
65708020,10554236.pdf,0.0
36805025,10554236.pdf,0.0
13080868,10554236.pdf,0.0
20748929,10554236.pdf,0.0
26581830,10554236.pdf,0.0
38688388,10554236.pdf,0.0
25397102,10554236.pdf,0.0
12059198,10554236.pdf,0.0
10228751,10554236.pdf,0.0
61677751,10554236.pdf,0.0
20553895,10554236.pdf,0.0
18757174,10554236.pdf,0.0
14726000,10554236.pdf,0.0
29208172,10554236.pdf,0.0
40792022,10554236.pdf,0.0
17095812,10554236.pdf,0.0
27850777,10554236.pdf,0.0
90629382,10554236.pdf,0.0
34797369,10554236.pdf,0.0
98379112,10554236.pdf,0.0
37521676,10554236.pdf,0.0
10501991,10554236.pdf,0.0
18293620,10554236.pdf,0.0
19557384,10554236.pdf,0.0
15423153,10554236.pdf,0.0
20357858,10554236.pdf,0.0
12546838,10554236.pdf,0.0
24647386,10554236.pdf,0.0
23568641,10554236.pdf,0.0
22423839,10554236.pdf,0.0
19738730,10554236.pdf,0.0
32531824,10554236.pdf,0.0
34046031,10554236.pdf,0.0
14825300,10554236.pdf,0.0
37391947,10554236.pdf,0.0
26896699,10554236.pdf,0.0
11289482,10554236.pdf,0.0
29908929,10554236.pdf,0.0
10704573,10554236.pdf,0.0
14990354,10554236.pdf,0.0
24964303,10554236.pdf,0.0
82118447,10554236.pdf,0.0
18236085,10554236.pdf,0.0
29825044,10554236.pdf,0.0
77576845,10554236.pdf,0.0
39237915,10554236.pdf,0.0
28916894,10554236.pdf,0.0
26278597,10554236.pdf,0.0
80275976,10554236.pdf,0.0
11088337,10554236.pdf,0.0
23396633,10554236.pdf,0.0
12814706,10554236.pdf,0.0
39875803,10554236.pdf,0.0
30938994,10554236.pdf,0.0
16694152,10554236.pdf,0.0
15233524,10554236.pdf,0.0
81310245,10554236.pdf,0.0
22025574,10554236.pdf,0.0
13888506,10554236.pdf,0.0
79759716,10554236.pdf,0.0
10541358,10554236.pdf,0.0
31638814,10554236.pdf,0.0
25370801,10554236.pdf,0.0
27796199,10554236.pdf,0.0
10289113,10554236.pdf,0.0
27219200,10554236.pdf,0.0
10235211,10554236.pdf,0.0
14287992,10554236.pdf,0.0
47067533,10554236.pdf,0.0
14241621,10554236.pdf,0.0
27213082,10554236.pdf,0.0
31813535,10554236.pdf,0.0
17115815,10554236.pdf,0.0
20317319,10554236.pdf,0.0
38007664,10554236.pdf,0.0
24412546,10554236.pdf,0.0
29014805,10554236.pdf,0.0
12377803,10554236.pdf,0.0
32385553,10554236.pdf,0.0
13199813,10554236.pdf,0.0
11551946,10554236.pdf,0.0
22765255,10554236.pdf,0.0
20427934,10554236.pdf,0.0
35673335,10554236.pdf,0.0
16846478,10554236.pdf,0.0
89197180,10554236.pdf,0.0
36574147,10554236.pdf,0.0
27004930,10554236.pdf,0.0
12230301,10554236.pdf,0.0
59696315,10554236.pdf,0.0
20633855,10554236.pdf,0.0
18311419,10554236.pdf,0.0
16091352,10554236.pdf,0.0
27375577,10554236.pdf,0.0
25813953,10554236.pdf,0.0
76916835,10554236.pdf,0.0
17730889,10554236.pdf,0.0
67501448,10554236.pdf,0.0
17421910,10554236.pdf,0.0
12632728,10554236.pdf,0.0
91467795,10554236.pdf,0.0
13574264,10554236.pdf,0.0
27139412,10554236.pdf,0.0
14070138,10554236.pdf,0.0
15811992,10554236.pdf,0.0
14871762,10554236.pdf,0.0
17597372,10554236.pdf,0.0
18937778,10554236.pdf,0.0
14861855,10554236.pdf,0.0
36170003,10554236.pdf,0.0
27937592,10554236.pdf,0.0
16519708,10554236.pdf,0.0
17602815,10554236.pdf,0.0
28337049,10554236.pdf,0.0
33424600,10554236.pdf,0.0
32042584,10554236.pdf,0.0
14752209,10554236.pdf,0.0
31273310,10554236.pdf,0.0
14055971,10554236.pdf,0.0
95382114,10554236.pdf,0.0
23617240,10554236.pdf,0.0
23138078,10554236.pdf,0.0
51777546,10554236.pdf,0.0
69199666,10554236.pdf,0.0
93988900,10554236.pdf,0.0
41910253,10554236.pdf,0.0
28670024,10554236.pdf,0.0
36625776,10554236.pdf,0.0
96260484,10554236.pdf,0.0
11378657,10554236.pdf,0.0
34962725,10554236.pdf,0.0
18365443,10554236.pdf,0.0
26125407,10554236.pdf,0.0
54934269,10554236.pdf,0.0
37374340,10554236.pdf,0.0
25328428,10554236.pdf,0.0
56520872,10554236.pdf,0.0
23944036,10554236.pdf,0.0
19090468,10554236.pdf,0.0
16132195,10554236.pdf,0.0
27030979,10554236.pdf,0.0
17960690,10554236.pdf,0.0
17624934,10554236.pdf,0.0
22008817,10554236.pdf,0.0
20835760,10554236.pdf,0.0
87520378,10554236.pdf,0.0
58879993,10554236.pdf,0.0
64471954,10554236.pdf,0.0
18714571,10554236.pdf,0.0
20748468,10554236.pdf,0.0
98300955,10554236.pdf,0.0
11653906,10554236.pdf,0.0
10466208,10554236.pdf,0.0
13352113,10554236.pdf,0.0
20110597,10554236.pdf,0.0
20211577,10554236.pdf,0.0
12315079,10554236.pdf,0.0
10480456,10554236.pdf,0.0
75297735,10554236.pdf,0.0
49325370,10554236.pdf,0.0
21866029,10554236.pdf,0.0
14667957,10554236.pdf,0.0
10062724,10554236.pdf,0.0
43994605,10554236.pdf,0.0
23814777,10554236.pdf,0.0
28745844,10554236.pdf,0.0
17864043,10554236.pdf,0.0
16121387,10554236.pdf,0.0
10076271,10554236.pdf,0.0
80876647,10554236.pdf,0.0
36861863,10554236.pdf,0.0
24025053,10554236.pdf,0.0
17545780,10554236.pdf,0.0
95011061,10554236.pdf,0.0
13565152,10554236.pdf,0.0
75744306,10554236.pdf,0.0
26908066,10554236.pdf,0.0
11704150,10554236.pdf,0.0
27917969,10554236.pdf,0.0
12613221,10554236.pdf,0.0
15680735,10554236.pdf,0.0
13575312,10554236.pdf,0.0
15636923,10554236.pdf,0.0
14062078,10554236.pdf,0.0
37001381,10554236.pdf,0.0
32219038,10554236.pdf,0.0
10251432,10554236.pdf,0.0
28423028,10554236.pdf,0.0
46349752,10554236.pdf,0.0
26958533,10554236.pdf,0.0
23110214,10554236.pdf,0.0
17963031,10554236.pdf,0.0
60624892,10554236.pdf,0.0
23918545,10554236.pdf,0.0
20172393,10554236.pdf,0.0
39082090,10554236.pdf,0.0
98309114,10554236.pdf,0.0
16702198,10554236.pdf,0.0
45907524,10554236.pdf,0.0
12333703,10554236.pdf,0.0
15499825,10554236.pdf,0.0
85417107,10554236.pdf,0.0
33750209,10554236.pdf,0.0
24548333,10554236.pdf,0.0
16356151,10554236.pdf,0.0
20736486,10554236.pdf,0.0
18784594,10554236.pdf,0.0
85421438,10554236.pdf,0.0
33803142,10554236.pdf,0.0
47996197,10554236.pdf,0.0
11605833,10554236.pdf,0.0
25451319,10554236.pdf,0.0
91478356,10554236.pdf,0.0
29134372,10554236.pdf,0.0
35579812,10554236.pdf,0.0
12938200,10554236.pdf,0.0
31926950,10554236.pdf,0.0
32563518,10554236.pdf,0.0
29992154,10554236.pdf,0.0
25974844,10554236.pdf,0.0
18129173,10554236.pdf,0.0
26585242,10554236.pdf,0.0
26695839,10554236.pdf,0.0
10568183,10554236.pdf,0.0
24550866,10554236.pdf,0.0
34594746,10554236.pdf,0.0
25834360,10554236.pdf,0.0
27090089,10554236.pdf,0.0
35422305,10554236.pdf,0.0
18484846,10554236.pdf,0.0
18949843,10554236.pdf,0.0
17539842,10554236.pdf,0.0
36868767,10554236.pdf,0.0
97169343,10554236.pdf,0.0
31395710,10554236.pdf,0.0
17576030,10554236.pdf,0.0
24444525,10554236.pdf,0.0
10268614,10554236.pdf,0.0
29792535,10554236.pdf,0.0
15932017,10554236.pdf,0.0
23063986,10554236.pdf,0.0
10816645,10554236.pdf,0.0
11522068,10554236.pdf,0.0
10568350,10554236.pdf,0.0
18767449,10554236.pdf,0.0
20457611,10554236.pdf,0.0
54259150,10554236.pdf,0.0
67032711,10554236.pdf,0.0
12019284,10554236.pdf,0.0
38650096,10554236.pdf,0.0
32651555,10554236.pdf,0.0
55746506,10554236.pdf,0.0
10235429,10554236.pdf,0.0
30757456,10554236.pdf,0.0
19037403,10554236.pdf,0.0
32636041,10554236.pdf,0.0
27974588,10554236.pdf,0.0
24251588,10554236.pdf,0.0
97123005,10554236.pdf,0.0
38642923,10554236.pdf,0.0
39805617,10554236.pdf,0.0
20565486,10554236.pdf,0.0
28669770,10554236.pdf,0.0
17660419,10554236.pdf,0.0
22855060,10554236.pdf,0.0
17163375,10554236.pdf,0.0
35302620,10554236.pdf,0.0
19599699,10554236.pdf,0.0
17286050,10554236.pdf,0.0
15293959,10554236.pdf,0.0
